,id,title,description,is_premium,difficulty,solution_link,acceptance_rate,frequency,url,discuss_count,accepted,submissions,companies,related_topics,likes,dislikes,rating,asked_by_faang,similar_questions,c++_code_snippet,java_code_snippet,python_code_snippet,python3_code_snippet,c_code_snippet,c#_code_snippet,javascript_code_snippet,ruby_code_snippet,swift_code_snippet,go_code_snippet,scala_code_snippet,kotlin_code_snippet,rust_code_snippet,php_code_snippet,typescript_code_snippet,racket_code_snippet,erlang_code_snippet,elixir_code_snippet,dart_code_snippet,mysql_code_snippet,ms sql server_code_snippet,oracle_code_snippet,title_slug
79,591,Tag Validator,"Given a string representing a code snippet, you need to implement a tag validator to parse the code and return whether it is valid. A code snippet is valid if all the following rules hold:
The code must be wrapped in a valid closed tag. Otherwise, the code is invalid.
A closed tag (not necessarily valid) has exactly the following format : `<TAG_NAME>TAG_CONTENT</TAG_NAME>`. Among them, `<TAG_NAME>` is the start tag, and `</TAG_NAME>` is the end tag. The TAG_NAME in start and end tags should be the same. A closed tag is valid if and only if the TAG_NAME and TAG_CONTENT are valid.
A valid `TAG_NAME` only contain upper-case letters, and has length in range [1,9]. Otherwise, the `TAG_NAME` is invalid.
A valid `TAG_CONTENT` may contain other valid closed tags, cdata and any characters (see note1) EXCEPT unmatched `<`, unmatched start and end tag, and unmatched or closed tags with invalid TAG_NAME. Otherwise, the `TAG_CONTENT` is invalid.
A start tag is unmatched if no end tag exists with the same TAG_NAME, and vice versa. However, you also need to consider the issue of unbalanced when tags are nested.
A `<` is unmatched if you cannot find a subsequent `>`. And when you find a `<` or `</`, all the subsequent characters until the next `>` should be parsed as TAG_NAME  (not necessarily valid).
The cdata has the following format : `<![CDATA[CDATA_CONTENT]]>`. The range of `CDATA_CONTENT` is defined as the characters between `<![CDATA[` and the first subsequent `]]>`.
`CDATA_CONTENT` may contain any characters. The function of cdata is to forbid the validator to parse `CDATA_CONTENT`, so even it has some characters that can be parsed as tag (no matter valid or invalid), you should treat it as regular characters.",0,Hard,/articles/tag-validator,34.8,15.9,https://leetcode.com/problems/tag-validator,66,8.8K,25.1K,Microsoft,"String,Stack",102,458,18,0,"[Add Bold Tag in String, /problems/add-bold-tag-in-string/, Medium]","class Solution {
public:
    bool isValid(string code) {
        
    }
};","class Solution {
    public boolean isValid(String code) {
        
    }
}","class Solution(object):
    def isValid(self, code):
        """"""
        :type code: str
        :rtype: bool
        """"""
        ","class Solution:
    def isValid(self, code: str) -> bool:
        ","bool isValid(char * code){

}","public class Solution {
    public bool IsValid(string code) {
        
    }
}","/**
 * @param {string} code
 * @return {boolean}
 */
var isValid = function(code) {
    
};","# @param {String} code
# @return {Boolean}
def is_valid(code)
    
end","class Solution {
    func isValid(_ code: String) -> Bool {
        
    }
}","func isValid(code string) bool {
    
}","object Solution {
    def isValid(code: String): Boolean = {
        
    }
}","class Solution {
    fun isValid(code: String): Boolean {
        
    }
}","impl Solution {
    pub fn is_valid(code: String) -> bool {
        
    }
}","class Solution {

    /**
     * @param String $code
     * @return Boolean
     */
    function isValid($code) {
        
    }
}","function isValid(code: string): boolean {

};","(define/contract (is-valid code)
  (-> string? boolean?)

  )","-spec is_valid(Code :: unicode:unicode_binary()) -> boolean().
is_valid(Code) ->
  .","defmodule Solution do
  @spec is_valid(code :: String.t) :: boolean
  def is_valid(code) do

  end
end","class Solution {
  bool isValid(String code) {

  }
}",,,,tag-validator
80,600,Non-negative Integers without Consecutive Ones,"Given a positive integer n, find the number of non-negative integers less than or equal to n, whose binary representations do NOT contain consecutive ones.",0,Hard,/articles/non-negative-integers-without-consecutive-ones,34.3,6.0,https://leetcode.com/problems/non-negative-integers-without-consecutive-ones,111,14.6K,42.4K,Pocket Gems,Dynamic Programming,528,77,87,0,"[House Robber, /problems/house-robber/, Medium], [House Robber II, /problems/house-robber-ii/, Medium], [Ones and Zeroes, /problems/ones-and-zeroes/, Medium]","class Solution {
public:
    int findIntegers(int n) {
        
    }
};","class Solution {
    public int findIntegers(int n) {
        
    }
}","class Solution(object):
    def findIntegers(self, n):
        """"""
        :type n: int
        :rtype: int
        """"""
        ","class Solution:
    def findIntegers(self, n: int) -> int:
        ","int findIntegers(int n){

}","public class Solution {
    public int FindIntegers(int n) {
        
    }
}","/**
 * @param {number} n
 * @return {number}
 */
var findIntegers = function(n) {
    
};","# @param {Integer} n
# @return {Integer}
def find_integers(n)
    
end","class Solution {
    func findIntegers(_ n: Int) -> Int {
        
    }
}","func findIntegers(n int) int {
    
}","object Solution {
    def findIntegers(n: Int): Int = {
        
    }
}","class Solution {
    fun findIntegers(n: Int): Int {
        
    }
}","impl Solution {
    pub fn find_integers(n: i32) -> i32 {
        
    }
}","class Solution {

    /**
     * @param Integer $n
     * @return Integer
     */
    function findIntegers($n) {
        
    }
}","function findIntegers(n: number): number {

};","(define/contract (find-integers n)
  (-> exact-integer? exact-integer?)

  )","-spec find_integers(N :: integer()) -> integer().
find_integers(N) ->
  .","defmodule Solution do
  @spec find_integers(n :: integer) :: integer
  def find_integers(n) do

  end
end","class Solution {
  int findIntegers(int n) {

  }
}",,,,non-negative-integers-without-consecutive-ones
81,629,K Inverse Pairs Array,"Given two integers `n` and `k`, find how many different arrays consist of numbers from `1` to `n` such that there are exactly `k` inverse pairs.
We define an inverse pair as following: For `ith` and `jth` element in the array, if `i` < `j` and `a[i]` > `a[j]` then it's an inverse pair; Otherwise, it's not.
Since the answer may be very large, the answer should be modulo 109 + 7.",0,Hard,/articles/k-inverse-pairs-array,31.7,0.0,https://leetcode.com/problems/k-inverse-pairs-array,71,12.8K,40.3K,Works Applications,Dynamic Programming,393,77,84,0,,"class Solution {
public:
    int kInversePairs(int n, int k) {
        
    }
};","class Solution {
    public int kInversePairs(int n, int k) {
        
    }
}","class Solution(object):
    def kInversePairs(self, n, k):
        """"""
        :type n: int
        :type k: int
        :rtype: int
        """"""
        ","class Solution:
    def kInversePairs(self, n: int, k: int) -> int:
        ","int kInversePairs(int n, int k){

}","public class Solution {
    public int KInversePairs(int n, int k) {
        
    }
}","/**
 * @param {number} n
 * @param {number} k
 * @return {number}
 */
var kInversePairs = function(n, k) {
    
};","# @param {Integer} n
# @param {Integer} k
# @return {Integer}
def k_inverse_pairs(n, k)
    
end","class Solution {
    func kInversePairs(_ n: Int, _ k: Int) -> Int {
        
    }
}","func kInversePairs(n int, k int) int {
    
}","object Solution {
    def kInversePairs(n: Int, k: Int): Int = {
        
    }
}","class Solution {
    fun kInversePairs(n: Int, k: Int): Int {
        
    }
}","impl Solution {
    pub fn k_inverse_pairs(n: i32, k: i32) -> i32 {
        
    }
}","class Solution {

    /**
     * @param Integer $n
     * @param Integer $k
     * @return Integer
     */
    function kInversePairs($n, $k) {
        
    }
}","function kInversePairs(n: number, k: number): number {

};","(define/contract (k-inverse-pairs n k)
  (-> exact-integer? exact-integer? exact-integer?)

  )","-spec k_inverse_pairs(N :: integer(), K :: integer()) -> integer().
k_inverse_pairs(N, K) ->
  .","defmodule Solution do
  @spec k_inverse_pairs(n :: integer, k :: integer) :: integer
  def k_inverse_pairs(n, k) do

  end
end","class Solution {
  int kInversePairs(int n, int k) {

  }
}",,,,k-inverse-pairs-array
82,630,Course Schedule III,"There are `n` different online courses numbered from `1` to `n`. Each course has some duration(course length) `t` and closed on `dth` day. A course should be taken continuously for `t` days and must be finished before or on the `dth` day. You will start at the `1st` day.
Given `n` online courses represented by pairs `(t,d)`, your task is to find the maximal number of courses that can be taken.",0,Hard,/articles/course-schedule-iii,33.8,8.9,https://leetcode.com/problems/course-schedule-iii,84,27.9K,82.5K,"Google,Microsoft",Greedy,1015,39,96,1,"[Course Schedule, /problems/course-schedule/, Medium], [Course Schedule II, /problems/course-schedule-ii/, Medium]","class Solution {
public:
    int scheduleCourse(vector<vector<int>>& courses) {
        
    }
};","class Solution {
    public int scheduleCourse(int[][] courses) {
        
    }
}","class Solution(object):
    def scheduleCourse(self, courses):
        """"""
        :type courses: List[List[int]]
        :rtype: int
        """"""
        ","class Solution:
    def scheduleCourse(self, courses: List[List[int]]) -> int:
        ","int scheduleCourse(int** courses, int coursesSize, int* coursesColSize){

}","public class Solution {
    public int ScheduleCourse(int[][] courses) {
        
    }
}","/**
 * @param {number[][]} courses
 * @return {number}
 */
var scheduleCourse = function(courses) {
    
};","# @param {Integer[][]} courses
# @return {Integer}
def schedule_course(courses)
    
end","class Solution {
    func scheduleCourse(_ courses: [[Int]]) -> Int {
        
    }
}","func scheduleCourse(courses [][]int) int {
    
}","object Solution {
    def scheduleCourse(courses: Array[Array[Int]]): Int = {
        
    }
}","class Solution {
    fun scheduleCourse(courses: Array<IntArray>): Int {
        
    }
}","impl Solution {
    pub fn schedule_course(courses: Vec<Vec<i32>>) -> i32 {
        
    }
}","class Solution {

    /**
     * @param Integer[][] $courses
     * @return Integer
     */
    function scheduleCourse($courses) {
        
    }
}","function scheduleCourse(courses: number[][]): number {

};","(define/contract (schedule-course courses)
  (-> (listof (listof exact-integer?)) exact-integer?)

  )","-spec schedule_course(Courses :: [[integer()]]) -> integer().
schedule_course(Courses) ->
  .","defmodule Solution do
  @spec schedule_course(courses :: [[integer]]) :: integer
  def schedule_course(courses) do

  end
end","class Solution {
  int scheduleCourse(List<List<int>> courses) {

  }
}",,,,course-schedule-iii
83,632,Smallest Range Covering Elements from K Lists,"You have `k` lists of sorted integers in non-decreasing order. Find the smallest range that includes at least one number from each of the `k` lists.
We define the range `[a, b]` is smaller than range `[c, d]` if `b - a < d - c` or `a < c` if `b - a == d - c`.",0,Hard,/articles/smallest-range,54.5,29.7,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,323,46.2K,84.9K,Amazon,"Hash Table,Two Pointers,String",1384,26,98,1,"[Minimum Window Substring, /problems/minimum-window-substring/, Hard]","class Solution {
public:
    vector<int> smallestRange(vector<vector<int>>& nums) {
        
    }
};","class Solution {
    public int[] smallestRange(List<List<Integer>> nums) {
        
    }
}","class Solution(object):
    def smallestRange(self, nums):
        """"""
        :type nums: List[List[int]]
        :rtype: List[int]
        """"""
        ","class Solution:
    def smallestRange(self, nums: List[List[int]]) -> List[int]:
        ","/**
 * Note: The returned array must be malloced, assume caller calls free().
 */
int* smallestRange(int** nums, int numsSize, int* numsColSize, int* returnSize){

}","public class Solution {
    public int[] SmallestRange(IList<IList<int>> nums) {
        
    }
}","/**
 * @param {number[][]} nums
 * @return {number[]}
 */
var smallestRange = function(nums) {
    
};","# @param {Integer[][]} nums
# @return {Integer[]}
def smallest_range(nums)
    
end","class Solution {
    func smallestRange(_ nums: [[Int]]) -> [Int] {
        
    }
}","func smallestRange(nums [][]int) []int {
    
}","object Solution {
    def smallestRange(nums: List[List[Int]]): Array[Int] = {
        
    }
}","class Solution {
    fun smallestRange(nums: List<List<Int>>): IntArray {
        
    }
}","impl Solution {
    pub fn smallest_range(nums: Vec<Vec<i32>>) -> Vec<i32> {
        
    }
}","class Solution {

    /**
     * @param Integer[][] $nums
     * @return Integer[]
     */
    function smallestRange($nums) {
        
    }
}","function smallestRange(nums: number[][]): number[] {

};","(define/contract (smallest-range nums)
  (-> (listof (listof exact-integer?)) (listof exact-integer?))

  )","-spec smallest_range(Nums :: [[integer()]]) -> [integer()].
smallest_range(Nums) ->
  .","defmodule Solution do
  @spec smallest_range(nums :: [[integer]]) :: [integer]
  def smallest_range(nums) do

  end
end","class Solution {
  List<int> smallestRange(List<List<int>> nums) {

  }
}",,,,smallest-range-covering-elements-from-k-lists
84,639,Decode Ways II,"A message containing letters from `A-Z` can be encoded into numbers using the following mapping:
'A' -> ""1""
'B' -> ""2""
...
'Z' -> ""26""
To decode an encoded message, all the digits must be grouped then mapped back into letters using the reverse of the mapping above (there may be multiple ways). For example, `""11106""` can be mapped into:
`""AAJF""` with the grouping `(1 1 10 6)`
`""KJF""` with the grouping `(11 10 6)`
Note that the grouping `(1 11 06)` is invalid because `""06""` cannot be mapped into `'F'` since `""6""` is different from `""06""`.
In addition to the mapping above, an encoded message may contain the `'*'` character, which can represent any digit from `'1'` to `'9'` (`'0'` is excluded). For example, the encoded message `""1*""` may represent any of the encoded messages `""11""`, `""12""`, `""13""`, `""14""`, `""15""`, `""16""`, `""17""`, `""18""`, or `""19""`. Decoding `""1*""` is equivalent to decoding any of the encoded messages it can represent.
Given a string `s` containing digits and the `'*'` character, return the number of ways to decode it.
Since the answer may be very large, return it modulo `109 + 7`.",0,Hard,/articles/decode-ways-ii,27.7,1.6,https://leetcode.com/problems/decode-ways-ii,250,38.5K,138.9K,"Google,Facebook",Dynamic Programming,583,592,50,1,"[Decode Ways, /problems/decode-ways/, Medium]","class Solution {
public:
    int numDecodings(string s) {
        
    }
};","class Solution {
    public int numDecodings(String s) {
        
    }
}","class Solution(object):
    def numDecodings(self, s):
        """"""
        :type s: str
        :rtype: int
        """"""
        ","class Solution:
    def numDecodings(self, s: str) -> int:
        ","int numDecodings(char * s){

}","public class Solution {
    public int NumDecodings(string s) {
        
    }
}","/**
 * @param {string} s
 * @return {number}
 */
var numDecodings = function(s) {
    
};","# @param {String} s
# @return {Integer}
def num_decodings(s)
    
end","class Solution {
    func numDecodings(_ s: String) -> Int {
        
    }
}","func numDecodings(s string) int {
    
}","object Solution {
    def numDecodings(s: String): Int = {
        
    }
}","class Solution {
    fun numDecodings(s: String): Int {
        
    }
}","impl Solution {
    pub fn num_decodings(s: String) -> i32 {
        
    }
}","class Solution {

    /**
     * @param String $s
     * @return Integer
     */
    function numDecodings($s) {
        
    }
}","function numDecodings(s: string): number {

};","(define/contract (num-decodings s)
  (-> string? exact-integer?)

  )","-spec num_decodings(S :: unicode:unicode_binary()) -> integer().
num_decodings(S) ->
  .","defmodule Solution do
  @spec num_decodings(s :: String.t) :: integer
  def num_decodings(s) do

  end
end","class Solution {
  int numDecodings(String s) {

  }
}",,,,decode-ways-ii
85,664,Strange Printer,"There is a strange printer with the following two special requirements:
The printer can only print a sequence of the same character each time.
At each turn, the printer can print new characters starting from and ending at any places, and will cover the original existing characters.
Given a string consists of lower English letters only, your job is to count the minimum number of turns the printer needed in order to print it.",0,Hard,/articles/strange-printer,41.6,22.4,https://leetcode.com/problems/strange-printer,88,17.8K,42.8K,NetEase,"Dynamic Programming,Depth-first Search",561,54,91,0,"[Remove Boxes, /problems/remove-boxes/, Hard], [Strange Printer II, /problems/strange-printer-ii/, Hard]","class Solution {
public:
    int strangePrinter(string s) {
        
    }
};","class Solution {
    public int strangePrinter(String s) {
        
    }
}","class Solution(object):
    def strangePrinter(self, s):
        """"""
        :type s: str
        :rtype: int
        """"""
        ","class Solution:
    def strangePrinter(self, s: str) -> int:
        ","int strangePrinter(char * s){

}","public class Solution {
    public int StrangePrinter(string s) {
        
    }
}","/**
 * @param {string} s
 * @return {number}
 */
var strangePrinter = function(s) {
    
};","# @param {String} s
# @return {Integer}
def strange_printer(s)
    
end","class Solution {
    func strangePrinter(_ s: String) -> Int {
        
    }
}","func strangePrinter(s string) int {
    
}","object Solution {
    def strangePrinter(s: String): Int = {
        
    }
}","class Solution {
    fun strangePrinter(s: String): Int {
        
    }
}","impl Solution {
    pub fn strange_printer(s: String) -> i32 {
        
    }
}","class Solution {

    /**
     * @param String $s
     * @return Integer
     */
    function strangePrinter($s) {
        
    }
}","function strangePrinter(s: string): number {

};","(define/contract (strange-printer s)
  (-> string? exact-integer?)

  )","-spec strange_printer(S :: unicode:unicode_binary()) -> integer().
strange_printer(S) ->
  .","defmodule Solution do
  @spec strange_printer(s :: String.t) :: integer
  def strange_printer(s) do

  end
end","class Solution {
  int strangePrinter(String s) {

  }
}",,,,strange-printer
86,668,Kth Smallest Number in Multiplication Table,"Nearly every one have used the Multiplication Table. But could you find out the `k-th` smallest number quickly from the multiplication table?
Given the height `m` and the length `n` of a `m * n` Multiplication Table, and a positive integer `k`, you need to return the `k-th` smallest number in this table.",0,Hard,/articles/kth-smallest-number-in-multiplication-table,47.9,0.0,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table,112,26K,54.2K,"Uber,Google",Binary Search,695,25,97,1,"[Kth Smallest Element in a Sorted Matrix, /problems/kth-smallest-element-in-a-sorted-matrix/, Medium], [Find K-th Smallest Pair Distance, /problems/find-k-th-smallest-pair-distance/, Hard], [K-th Smallest Prime Fraction, /problems/k-th-smallest-prime-fraction/, Hard]","class Solution {
public:
    int findKthNumber(int m, int n, int k) {
        
    }
};","class Solution {
    public int findKthNumber(int m, int n, int k) {
        
    }
}","class Solution(object):
    def findKthNumber(self, m, n, k):
        """"""
        :type m: int
        :type n: int
        :type k: int
        :rtype: int
        """"""
        ","class Solution:
    def findKthNumber(self, m: int, n: int, k: int) -> int:
        ","int findKthNumber(int m, int n, int k){

}","public class Solution {
    public int FindKthNumber(int m, int n, int k) {
        
    }
}","/**
 * @param {number} m
 * @param {number} n
 * @param {number} k
 * @return {number}
 */
var findKthNumber = function(m, n, k) {
    
};","# @param {Integer} m
# @param {Integer} n
# @param {Integer} k
# @return {Integer}
def find_kth_number(m, n, k)
    
end","class Solution {
    func findKthNumber(_ m: Int, _ n: Int, _ k: Int) -> Int {
        
    }
}","func findKthNumber(m int, n int, k int) int {
    
}","object Solution {
    def findKthNumber(m: Int, n: Int, k: Int): Int = {
        
    }
}","class Solution {
    fun findKthNumber(m: Int, n: Int, k: Int): Int {
        
    }
}","impl Solution {
    pub fn find_kth_number(m: i32, n: i32, k: i32) -> i32 {
        
    }
}","class Solution {

    /**
     * @param Integer $m
     * @param Integer $n
     * @param Integer $k
     * @return Integer
     */
    function findKthNumber($m, $n, $k) {
        
    }
}","function findKthNumber(m: number, n: number, k: number): number {

};","(define/contract (find-kth-number m n k)
  (-> exact-integer? exact-integer? exact-integer? exact-integer?)

  )","-spec find_kth_number(M :: integer(), N :: integer(), K :: integer()) -> integer().
find_kth_number(M, N, K) ->
  .","defmodule Solution do
  @spec find_kth_number(m :: integer, n :: integer, k :: integer) :: integer
  def find_kth_number(m, n, k) do

  end
end","class Solution {
  int findKthNumber(int m, int n, int k) {

  }
}",,,,kth-smallest-number-in-multiplication-table
87,675,Cut Off Trees for Golf Event,"You are asked to cut off all the trees in a forest for a golf event. The forest is represented as an `m x n` matrix. In this matrix:
`0` means the cell cannot be walked through.
`1` represents an empty cell that can be walked through.
A number greater than `1` represents a tree in a cell that can be walked through, and this number is the tree's height.
In one step, you can walk in any of the four directions: north, east, south, and west. If you are standing in a cell with a tree, you can choose whether to cut it off.
You must cut off the trees in order from shortest to tallest. When you cut off a tree, the value at its cell becomes `1` (an empty cell).
Starting from the point `(0, 0)`, return the minimum steps you need to walk to cut off all the trees. If you cannot cut off all the trees, return `-1`.
You are guaranteed that no two trees have the same height, and there is at least one tree needs to be cut off.",0,Hard,/articles/cutoff-trees-for-golf-event,35.4,15.4,https://leetcode.com/problems/cut-off-trees-for-golf-event,223,42.3K,119.4K,"Amazon,Apple",Breadth-first Search,664,388,63,1,,"class Solution {
public:
    int cutOffTree(vector<vector<int>>& forest) {
        
    }
};","class Solution {
    public int cutOffTree(List<List<Integer>> forest) {
        
    }
}","class Solution(object):
    def cutOffTree(self, forest):
        """"""
        :type forest: List[List[int]]
        :rtype: int
        """"""
        ","class Solution:
    def cutOffTree(self, forest: List[List[int]]) -> int:
        ","int cutOffTree(int** forest, int forestSize, int* forestColSize){

}","public class Solution {
    public int CutOffTree(IList<IList<int>> forest) {
        
    }
}","/**
 * @param {number[][]} forest
 * @return {number}
 */
var cutOffTree = function(forest) {
    
};","# @param {Integer[][]} forest
# @return {Integer}
def cut_off_tree(forest)
    
end","class Solution {
    func cutOffTree(_ forest: [[Int]]) -> Int {
        
    }
}","func cutOffTree(forest [][]int) int {
    
}","object Solution {
    def cutOffTree(forest: List[List[Int]]): Int = {
        
    }
}","class Solution {
    fun cutOffTree(forest: List<List<Int>>): Int {
        
    }
}","impl Solution {
    pub fn cut_off_tree(forest: Vec<Vec<i32>>) -> i32 {
        
    }
}","class Solution {

    /**
     * @param Integer[][] $forest
     * @return Integer
     */
    function cutOffTree($forest) {
        
    }
}","function cutOffTree(forest: number[][]): number {

};","(define/contract (cut-off-tree forest)
  (-> (listof (listof exact-integer?)) exact-integer?)

  )","-spec cut_off_tree(Forest :: [[integer()]]) -> integer().
cut_off_tree(Forest) ->
  .","defmodule Solution do
  @spec cut_off_tree(forest :: [[integer]]) :: integer
  def cut_off_tree(forest) do

  end
end","class Solution {
  int cutOffTree(List<List<int>> forest) {

  }
}",,,,cut-off-trees-for-golf-event
88,679,24 Game,"You have 4 cards each containing a number from 1 to 9.  You need to judge whether they could operated through `*`, `/`, `+`, `-`, `(`, `)` to get the value of 24.",0,Hard,/articles/24-game,47.3,40.7,https://leetcode.com/problems/24-game,254,49.1K,103.9K,Amazon,Depth-first Search,902,180,83,1,,"class Solution {
public:
    bool judgePoint24(vector<int>& cards) {
        
    }
};","class Solution {
    public boolean judgePoint24(int[] cards) {
        
    }
}","class Solution(object):
    def judgePoint24(self, cards):
        """"""
        :type cards: List[int]
        :rtype: bool
        """"""
        ","class Solution:
    def judgePoint24(self, cards: List[int]) -> bool:
        ","bool judgePoint24(int* cards, int cardsSize){

}","public class Solution {
    public bool JudgePoint24(int[] cards) {
        
    }
}","/**
 * @param {number[]} cards
 * @return {boolean}
 */
var judgePoint24 = function(cards) {
    
};","# @param {Integer[]} cards
# @return {Boolean}
def judge_point24(cards)
    
end","class Solution {
    func judgePoint24(_ cards: [Int]) -> Bool {
        
    }
}","func judgePoint24(cards []int) bool {
    
}","object Solution {
    def judgePoint24(cards: Array[Int]): Boolean = {
        
    }
}","class Solution {
    fun judgePoint24(cards: IntArray): Boolean {
        
    }
}","impl Solution {
    pub fn judge_point24(cards: Vec<i32>) -> bool {
        
    }
}","class Solution {

    /**
     * @param Integer[] $cards
     * @return Boolean
     */
    function judgePoint24($cards) {
        
    }
}","function judgePoint24(cards: number[]): boolean {

};","(define/contract (judge-point24 cards)
  (-> (listof exact-integer?) boolean?)

  )","-spec judge_point24(Cards :: [integer()]) -> boolean().
judge_point24(Cards) ->
  .","defmodule Solution do
  @spec judge_point24(cards :: [integer]) :: boolean
  def judge_point24(cards) do

  end
end","class Solution {
  bool judgePoint24(List<int> cards) {

  }
}",,,,24-game
89,685,Redundant Connection II,"In this problem, a rooted tree is a directed graph such that, there is exactly one node (the root) for which all other nodes are descendants of this node, plus every node has exactly one parent, except for the root node which has no parents.
The given input is a directed graph that started as a rooted tree with `n` nodes (with distinct values from `1` to `n`), with one additional directed edge added. The added edge has two different vertices chosen from `1` to `n`, and was not an edge that already existed.
The resulting graph is given as a 2D-array of `edges`. Each element of `edges` is a pair `[ui, vi]` that represents a directed edge connecting nodes `ui` and `vi`, where `ui` is a parent of child `vi`.
Return an edge that can be removed so that the resulting graph is a rooted tree of `n` nodes. If there are multiple answers, return the answer that occurs last in the given 2D-array.",0,Hard,/articles/redundant-connection-ii,33.2,7.0,https://leetcode.com/problems/redundant-connection-ii,233,42K,126.8K,Amazon,"Tree,Depth-first Search,Union Find,Graph",1061,243,81,1,"[Redundant Connection, /problems/redundant-connection/, Medium]","class Solution {
public:
    vector<int> findRedundantDirectedConnection(vector<vector<int>>& edges) {
        
    }
};","class Solution {
    public int[] findRedundantDirectedConnection(int[][] edges) {
        
    }
}","class Solution(object):
    def findRedundantDirectedConnection(self, edges):
        """"""
        :type edges: List[List[int]]
        :rtype: List[int]
        """"""
        ","class Solution:
    def findRedundantDirectedConnection(self, edges: List[List[int]]) -> List[int]:
        ","/**
 * Note: The returned array must be malloced, assume caller calls free().
 */
int* findRedundantDirectedConnection(int** edges, int edgesSize, int* edgesColSize, int* returnSize){

}","public class Solution {
    public int[] FindRedundantDirectedConnection(int[][] edges) {
        
    }
}","/**
 * @param {number[][]} edges
 * @return {number[]}
 */
var findRedundantDirectedConnection = function(edges) {
    
};","# @param {Integer[][]} edges
# @return {Integer[]}
def find_redundant_directed_connection(edges)
    
end","class Solution {
    func findRedundantDirectedConnection(_ edges: [[Int]]) -> [Int] {
        
    }
}","func findRedundantDirectedConnection(edges [][]int) []int {
    
}","object Solution {
    def findRedundantDirectedConnection(edges: Array[Array[Int]]): Array[Int] = {
        
    }
}","class Solution {
    fun findRedundantDirectedConnection(edges: Array<IntArray>): IntArray {
        
    }
}","impl Solution {
    pub fn find_redundant_directed_connection(edges: Vec<Vec<i32>>) -> Vec<i32> {
        
    }
}","class Solution {

    /**
     * @param Integer[][] $edges
     * @return Integer[]
     */
    function findRedundantDirectedConnection($edges) {
        
    }
}","function findRedundantDirectedConnection(edges: number[][]): number[] {

};","(define/contract (find-redundant-directed-connection edges)
  (-> (listof (listof exact-integer?)) (listof exact-integer?))

  )","-spec find_redundant_directed_connection(Edges :: [[integer()]]) -> [integer()].
find_redundant_directed_connection(Edges) ->
  .","defmodule Solution do
  @spec find_redundant_directed_connection(edges :: [[integer]]) :: [integer]
  def find_redundant_directed_connection(edges) do

  end
end","class Solution {
  List<int> findRedundantDirectedConnection(List<List<int>> edges) {

  }
}",,,,redundant-connection-ii
